ep,tloss,tacc,vloss,vacc
1,1.759478322,0.316996786,1.652586143,0.3780245886
2,1.621305538,0.391636525,1.518933479,0.4429001764
3,1.51179013,0.4418916041,1.423064644,0.4840504997
4,1.432552986,0.4786139387,1.356164171,0.5127249052
5,1.378023146,0.5010573131,1.309823069,0.5305050776
6,1.334899326,0.5165840649,1.275645661,0.5431667155
7,1.300114283,0.5327339275,1.251439125,0.5512649394
8,1.268260402,0.5435914684,1.232706687,0.5574018745
9,1.246382015,0.5525812465,1.218002679,0.5618469176
10,1.224725228,0.5613186665,1.204990337,0.5676307799
11,1.20233777,0.5689278673,1.194593525,0.5705267928
12,1.186439016,0.5760600866,1.186307897,0.5730860601
13,1.168095825,0.5832515688,1.177772329,0.5755779782
14,1.150920653,0.5890488682,1.170938996,0.5766555644
15,1.137275324,0.5945692149,1.165511356,0.5794842282
16,1.123730104,0.5998338022,1.160668913,0.5807556983
17,1.109418955,0.605415505,1.156413779,0.5826414741
18,1.097951218,0.6098491033,1.152410697,0.5868844698
19,1.087861321,0.6137820412,1.148995218,0.5866150733
20,1.07493846,0.6192644491,1.146572956,0.5887702457
21,1.063957572,0.6227808461,1.144415543,0.5886355474
22,1.052152595,0.6270579798,1.143063307,0.5895110862
23,1.038213959,0.6318018907,1.141107123,0.5917336078
24,1.029544231,0.6358724547,1.140244945,0.5911274655
25,1.021712983,0.6379009993,1.13903553,0.5926009828
26,1.010915772,0.6451102734,1.138468724,0.5929458922
27,1.001172479,0.6462574621,1.139692549,0.5924070991
28,0.9925915299,0.6494755821,1.138749308,0.5948908535
29,0.9830655377,0.6536041007,1.138768407,0.5954969957
30,0.9708160007,0.657470188,1.140432893,0.5942847112
31,0.9578705908,0.6618443926,1.140595609,0.5944867586
32,0.9530007341,0.6646213767,1.141743081,0.5940153147
33,0.941577265,0.668070792,1.143621912,0.5961031379
34,0.9369547712,0.6692883636,1.146153235,0.5952949483
35,0.9298036818,0.6724796649,1.146722989,0.59516025
36,0.9219471421,0.6755436751,1.149505454,0.5936867328
37,0.9108677008,0.6799045357,1.151465092,0.594764319
38,0.9029630378,0.6813064372,1.153454613,0.5952357629
39,0.8945481958,0.6850707439,1.15581565,0.5953704612
40,0.8843917918,0.6900303824,1.159526514,0.5942255259
41,0.8778045967,0.6913731517,1.163073706,0.5932826379
42,0.8702801251,0.6928196639,1.166635817,0.5933499871
43,0.8630046012,0.6961573563,1.169659486,0.591868306
44,0.8593832117,0.6974988173,1.173789764,0.5924744483
45,0.8472021468,0.7015179678,1.177910984,0.5936193836
46,0.8370143987,0.7050053219,1.181325745,0.5919356552
47,0.8328785121,0.7072952513,1.186990038,0.5909254181
48,0.8298895824,0.7069566808,1.190616176,0.5905886724
49,0.8205268457,0.7105569353,1.195868829,0.5915315603
50,0.8127037065,0.7138175728,1.200278033,0.5905886724
51,0.8071453115,0.7165721861,1.203253305,0.5917336078
52,0.8008980457,0.7170613341,1.21014609,0.5911948146
53,0.7938905238,0.7193076993,1.215760877,0.5911948146
54,0.789901915,0.7213955068,1.219803175,0.5907907198
55,0.7807147303,0.7242784577,1.225637505,0.5895784353
56,0.7761101933,0.7255129054,1.232577143,0.5886355474
57,0.771205866,0.7267035274,1.238270049,0.5883661509
58,0.7635940639,0.7315090561,1.244365907,0.588904944
59,0.7587457901,0.7319781881,1.24946586,0.5882988017
60,0.7539558948,0.7329096493,1.255106403,0.5876253103
61,0.7425401129,0.7394879632,1.263043154,0.5875579612
62,0.7407252635,0.737706282,1.268178289,0.5877600086
63,0.7358226645,0.739100334,1.275922953,0.5871538664
64,0.7298003749,0.7407055348,1.281579093,0.5866150733
65,0.7227976939,0.7448875601,1.289859489,0.5854701379
66,0.7190718389,0.7445536993,1.296822208,0.5864130259
67,0.7137058324,0.7476746176,1.305715796,0.5854027888
68,0.71173779,0.7460169567,1.311027731,0.58452725
69,0.7053361576,0.7511966398,1.318559948,0.5856721853
70,0.6984953275,0.7526576734,1.327201793,0.5841905043
71,0.6961974774,0.7524565981,1.334261841,0.5835843621
72,0.6926091101,0.7534708704,1.339066789,0.5832476164
73,0.6887947131,0.7561004167,1.347680067,0.5826414741
74,0.6802117001,0.7582094176,1.3578297,0.5834496638
75,0.6814124768,0.7570654995,1.363972911,0.5827088233
76,0.6746133883,0.7596871965,1.372353215,0.5815638879
77,0.6712408875,0.7610756231,1.379158639,0.581092444
78,0.6655763679,0.7638312831,1.387964796,0.5804189526
79,0.6633636522,0.763254876,1.396551109,0.5796107629
80,0.6591643405,0.7649885451,1.406316795,0.578196431
81,0.6544016157,0.7663859985,1.414976199,0.5775902888
82,0.648839485,0.7676180915,1.424506906,0.5781290819
83,0.648177247,0.7691918946,1.432922107,0.5757045129
84,0.6472564912,0.767279521,1.441789013,0.5761086078
85,0.6429934852,0.7695561064,1.448866309,0.5761086078
86,0.6391178589,0.7718549318,1.457987179,0.5755024655
87,0.635513758,0.774338087,1.468441562,0.5751065342
88,0.628852978,0.7750786771,1.47709229,0.5728166635
89,0.624393732,0.7786095953,1.486191928,0.5730860601
90,0.6234870814,0.7769128184,1.494608885,0.5730187109
91,0.6229404011,0.7766403136,1.504041936,0.5728085
92,0.6212124869,0.7755980452,1.513985934,0.572547267
93,0.6103549346,0.7820533853,1.52268186,0.5732881075
94,0.609924395,0.7808235164,1.531560042,0.5716717282
95,0.6062023105,0.7828419875,1.542969466,0.5731534092
96,0.6035148831,0.7832754048,1.552204235,0.5731534092
97,0.6053859899,0.7822064485,1.560249781,0.5706696546
98,0.6016924876,0.7835145496,1.568680785,0.570594142
99,0.5970092917,0.7844897058,1.576725588,0.569651254
100,0.5953554172,0.7861819039,1.587738347,0.5696594176